Epoch,ermAccuracy,ermLoss,mixupAccuracy,mixupLoss
1,0.3126,2.294874084472656,0.3111,2.0017234369277954
2,0.4604,1.7192574356079102,0.2435,2.4960849670410155
3,0.5655,1.5792372787475586,0.5265,1.6605307678222656
4,0.6268,1.3824551240921021,0.5471,1.657127431678772
5,0.6341,1.3931164220809937,0.5919,1.5671037105560304
6,0.6733,1.2244424911499023,0.589,1.5070169866561889
7,0.6788,1.2426455009460449,0.6476,1.533990343284607
8,0.7025,1.2183381275177,0.6618,1.3614426773071289
9,0.6761,1.1774938966751098,0.679,1.3424189908981323
10,0.6286,1.2859663442611695,0.6824,1.360194416809082
11,0.5663,1.4694633724212647,0.7256,1.254390665435791
12,0.5101,1.8917528038024902,0.6986,1.3298450889587403
13,0.4508,2.5202193092346192,0.6678,1.295446886062622
14,0.4966,2.5831599098205564,0.6343,1.35846694316864
15,0.4511,2.958139551925659,0.6404,1.3455410305023194
16,0.4338,3.083198599243164,0.6147,1.3390530368804932
17,0.4042,3.434954742050171,0.5914,1.3533238744735718
18,0.4693,3.164215962219238,0.5512,1.4694508562088013
19,0.4384,3.33424662399292,0.5377,1.4846630865097046
20,0.4555,3.359846382522583,0.5213,1.518544945335388
21,0.4582,3.326578485107422,0.5099,1.5393380226135254
22,0.4599,3.1250675552368166,0.4701,1.646908113861084
23,0.4436,3.488629312133789,0.5121,1.5243094974517821
24,0.4626,3.401234255218506,0.4786,1.596338018798828
25,0.4475,3.403082629394531,0.4961,1.5524384702682494
26,0.4581,3.464423903656006,0.5042,1.5281344482421875
27,0.4275,3.5568644104003906,0.4855,1.576753800201416
28,0.484,3.293999585723877,0.507,1.5194169216156006
29,0.4649,3.478588168334961,0.5198,1.495060553741455
30,0.4717,3.2199283554077147,0.4782,1.6352766025543213
31,0.4601,3.4042759941101073,0.5016,1.6451743312835694
32,0.4507,3.5931337265014647,0.5131,1.7324375904083251
33,0.4487,3.5703103004455565,0.5113,1.499771996307373
34,0.4693,3.507477583694458,0.5265,1.4769510883331298
35,0.4771,3.3451363723754883,0.5445,1.4461217084884643
36,0.4535,3.4691170593261718,0.5119,1.545656540298462
37,0.4771,3.382332593536377,0.5292,1.5318825481414795
38,0.4645,3.5282547981262207,0.5231,1.4892664575576782
39,0.4879,3.292180072784424,0.5263,1.4813214427947998
40,0.4654,3.431457124328613,0.5153,1.5149811937332154
41,0.4774,3.4487532638549805,0.5401,1.438154250907898
42,0.4922,3.411203654098511,0.5064,1.5166246654510498
43,0.468,3.535467236328125,0.5128,1.505243599319458
44,0.4591,3.5794319458007813,0.5312,1.448868175125122
45,0.4625,3.7153361198425294,0.5416,1.4236189205169678
46,0.4382,3.7242359909057616,0.522,1.4948747493743897
47,0.4584,3.923742835998535,0.5294,1.464408744430542
48,0.4794,3.5346998168945314,0.5362,1.4605221767425538
49,0.485,3.548189562988281,0.5509,1.406941792678833
50,0.4508,3.6837849433898926,0.5364,1.4444621574401855
