Epoch,ermAccuracy,ermLoss,mixupAccuracy,mixupLoss
1,0.4408,1.5667448785781861,0.4926,1.4888269485473633
2,0.6702,1.077974669456482,0.6535,1.212428005218506
3,0.7114,0.9061991920471192,0.6718,1.1089282863616943
4,0.7463,0.871319330215454,0.7061,1.0843166929244996
5,0.7744,0.7758182622909546,0.7673,0.9919712082862854
6,0.7824,0.7283233128547668,0.7506,0.9549362405776978
7,0.768,0.761724796295166,0.771,0.8983439985275269
8,0.7401,0.8623001976013184,0.8054,0.8389323147773743
9,0.7542,0.8109381718635559,0.8015,0.8466526746749878
10,0.6932,1.090034131526947,0.7917,0.8612311203956604
11,0.6924,1.262936165046692,0.7811,0.883766167640686
12,0.6746,1.3430397981643676,0.7862,0.8401162614822387
13,0.6808,1.3985617258071898,0.7631,0.8920074605941772
14,0.6734,1.5586053216934204,0.7765,0.8846959484100342
15,0.6803,1.5877848247528077,0.7672,0.8483012290000915
16,0.6799,1.5929376041412353,0.7524,0.915789430141449
17,0.7002,1.5405905839920044,0.7715,0.8516033711433411
18,0.6901,1.5964400777816772,0.7616,0.8932834053039551
19,0.6629,1.8095874813079833,0.7472,0.9384722221374512
20,0.7127,1.57936234664917,0.747,0.8812748075485229
21,0.7064,1.6732174711227417,0.7421,0.9255537256240844
22,0.707,1.6168663217544557,0.7537,0.875015354347229
23,0.6804,1.7188037185668945,0.7486,0.88967288646698
24,0.7032,1.617074275970459,0.7472,0.896374984550476
25,0.6965,1.6599619640350343,0.7523,0.8719200849533081
26,0.7016,1.738122149658203,0.7642,0.8453805387496949
27,0.7088,1.6494234334945679,0.7613,0.8490022880554199
28,0.7037,1.780409358215332,0.7654,0.8328171794891357
29,0.6903,1.7744139211654664,0.7566,0.8509581917762756
30,0.7163,1.7073207898139953,0.769,0.8205533661842346
31,0.6847,1.8370751247406005,0.7599,0.8342120014190674
32,0.694,1.7266881982803344,0.7746,0.8267985485076904
33,0.7111,1.7756047855377197,0.7363,0.9040314437866211
34,0.7019,1.8711503215789795,0.7472,0.8821884422302246
35,0.7117,1.7623255355834961,0.7624,0.8285904554367065
36,0.7144,1.6932061241149903,0.7571,0.8629082555770874
37,0.7097,1.7853631328582764,0.7601,0.8372305452346802
38,0.7046,1.8946383113861085,0.766,0.825910457611084
39,0.7033,1.8446302089691162,0.7603,0.8749997859954834
40,0.7071,1.7744868532180786,0.7587,0.8491616474151611
41,0.7233,1.6907673829078673,0.7585,0.8501542688369751
42,0.7025,1.8610346084594727,0.7715,0.8249538142204285
43,0.7097,1.7546629229545594,0.7728,0.8000390537261963
44,0.7,1.8235454154968262,0.7703,0.8402094576835633
45,0.6979,1.8988038520812989,0.7566,0.8614230915069581
46,0.7104,1.8009205364227294,0.7582,0.8585489744186401
47,0.7138,1.847436005973816,0.7607,0.8327517744064331
48,0.6939,1.9364162635803224,0.7616,0.8597182396888733
49,0.6875,2.053090549850464,0.7537,0.8787889844894409
50,0.6988,1.9580094486713409,0.7686,0.8269233015060424
