Epoch,ermAccuracy,ermLoss,mixupAccuracy,mixupLoss
1,0.6021,1.1377777614593505,0.5358,1.3283656433105469
2,0.7098,0.8628567964553833,0.6278,1.154278129005432
3,0.7849,0.6097845064163208,0.7517,0.8035812475204468
4,0.7887,0.6108602305412293,0.7981,0.7129384677886963
5,0.8291,0.5053386298656464,0.742,0.8030756839752198
6,0.8295,0.5377305846214294,0.821,0.621579231262207
7,0.8337,0.5396673050880432,0.8186,0.6555690689563751
8,0.8456,0.5246722392559051,0.8435,0.6178233525276184
9,0.8399,0.5805496349334717,0.8553,0.5415368512153625
10,0.8334,0.6714145512580871,0.8424,0.5943358324050904
11,0.8374,0.6434051125526429,0.8648,0.4940325033187866
12,0.8409,0.6663192935943604,0.8689,0.5136562982559204
13,0.8329,0.7534336916923523,0.8748,0.5028607985019684
14,0.8456,0.7633495292186737,0.869,0.5256742357254028
15,0.8489,0.7214010122299195,0.8625,0.5298487627983093
16,0.8309,0.8625781804084778,0.8635,0.5260210081100464
17,0.8404,0.8081235224723816,0.8767,0.49618135528564455
18,0.8387,0.8106058680534363,0.8732,0.48466617665290834
19,0.8468,0.7737433893203736,0.8623,0.5442020567893981
20,0.826,0.9513087575912476,0.8587,0.5439548194885254
21,0.8548,0.7511726676940917,0.8775,0.4569430446624756
22,0.8384,0.847713939666748,0.8741,0.5178667123794556
23,0.8408,0.8536791902542115,0.875,0.4901547737121582
24,0.8509,0.7827600160598754,0.8608,0.5471129999160766
25,0.8489,0.8635409147262573,0.8753,0.4953334412574768
26,0.8493,0.8135697227478027,0.8788,0.5055644248962402
27,0.8458,0.8669532710075378,0.8826,0.47489690294265746
28,0.8491,0.8099508652687073,0.8784,0.5088357815742492
29,0.8514,0.8252105379462242,0.8752,0.5053155263900757
30,0.8421,0.9683841773033142,0.8843,0.48377947483062744
31,0.8477,0.8823214919567108,0.8801,0.47344874076843263
32,0.8531,0.8059120597839355,0.8809,0.4931890781402588
33,0.8523,0.8371656215667724,0.8901,0.4706544164657593
34,0.846,0.9379079712867737,0.8843,0.4843881923675537
35,0.8522,0.8549084712982178,0.8837,0.48079333505630495
36,0.852,0.8550028479576111,0.8833,0.48039595546722413
37,0.8517,0.9323541249275208,0.8889,0.46992369928359984
38,0.8418,0.9583944366455078,0.8848,0.4917354146957397
39,0.852,0.885150043964386,0.8873,0.4653926468849182
40,0.8532,0.8553889737606049,0.886,0.5020075572013855
41,0.8383,1.000968782043457,0.8859,0.4789474967956543
42,0.8543,0.8849066388607025,0.8839,0.500738784980774
43,0.8489,0.9290662503242493,0.8769,0.5067643278121948
44,0.8532,0.9162659592628479,0.8811,0.4784718611717224
45,0.856,0.9251929096221924,0.887,0.47525552673339844
46,0.8551,0.9084199197769165,0.8832,0.4847325580596924
47,0.8535,0.9372769435882569,0.8897,0.4915493094444275
48,0.8446,0.9745992893218994,0.8769,0.5140672518730164
49,0.8529,0.9016237265586853,0.8929,0.45420987730026247
50,0.8549,0.90706937084198,0.8868,0.45212849617004397
