Epoch,ermAccuracy,ermLoss,mixupAccuracy,mixupLoss
1,0.2432,2.2638483909606935,0.1834,2.2282584381103514
2,0.2323,2.2222142219543457,0.2088,2.2244422691345216
3,0.2741,2.1726364547729493,0.279,2.1878235389709473
4,0.262,2.2000808204650877,0.274,2.1886452491760253
5,0.3524,2.0977037548065187,0.2927,2.187274114227295
6,0.3854,2.0746126178741453,0.3278,2.155071356964111
7,0.3975,2.057499461364746,0.3399,2.17012417678833
8,0.4041,2.0237845954895017,0.3186,2.1272514656066894
9,0.4252,2.060154170227051,0.3647,2.1320274909973143
10,0.4036,2.0125833793640138,0.3394,2.1210895740509033
11,0.4628,1.9910121673583985,0.4065,2.0534884002685545
12,0.4594,1.9511987064361573,0.3876,2.0856055572509766
13,0.4555,1.9427605785369872,0.4083,2.04345587310791
14,0.4817,1.9343474880218505,0.3976,2.081500888824463
15,0.4782,1.8768168020248412,0.4412,2.0129905040740965
16,0.4178,1.912076968383789,0.403,2.002247185897827
17,0.3685,1.948914904022217,0.4506,2.005066181945801
18,0.3224,2.04033946685791,0.4608,1.9746266223907472
19,0.273,2.309994549560547,0.4826,1.9428594007492066
20,0.2286,3.0406603595733643,0.4809,1.9144649662017823
21,0.2175,3.664656324005127,0.5041,1.9354395698547364
22,0.2111,4.314070159912109,0.4716,1.9293219902038574
23,0.2154,4.943308159637451,0.4778,1.9298129800796509
24,0.2109,5.372225629806518,0.4578,1.9330609687805176
25,0.2068,5.533004402160644,0.4467,1.921171262359619
26,0.2082,5.946535795593261,0.4041,1.9260521438598632
27,0.1794,6.231289587402344,0.4007,1.925430457687378
28,0.2115,5.860586491394043,0.375,1.9618928817749024
29,0.2177,5.880938980102539,0.3586,2.0346497863769533
30,0.1941,6.31510626296997,0.3488,2.2087887016296386
31,0.1897,6.55429854888916,0.3156,2.4943752222061155
32,0.2026,6.5248873413085935,0.2497,2.6734651538848877
33,0.217,6.009362132263184,0.25,2.5092018867492674
34,0.2029,6.383823063659668,0.2371,3.645912910079956
35,0.199,6.694841331481934,0.2379,2.753600085067749
36,0.1536,9.341873384094239,0.2372,2.525024144744873
37,0.2289,6.116511132049561,0.223,2.637837707901001
38,0.2128,6.303196617126465,0.2275,2.7664175605773926
39,0.2223,6.221570907592773,0.2291,2.881458857345581
40,0.2075,6.690081106567383,0.2315,2.777560866165161
41,0.2187,6.3824123115539555,0.2202,3.012990883255005
42,0.2004,6.467566441345215,0.215,3.1118439109802245
43,0.2056,6.807965412902832,0.2169,3.191779256439209
44,0.2176,6.716493184661865,0.2399,3.3556683975219728
45,0.2171,6.5906512077331545,0.2469,2.659648994064331
46,0.2011,6.737602226257324,0.2456,2.4074200176239016
47,0.21,6.603879963684082,0.2331,2.571620924758911
48,0.2035,6.470804899597168,0.2084,2.50128058013916
49,0.2082,6.528379991149903,0.234,2.4674584409713747
50,0.2079,6.685015283203125,0.2354,2.3309898780822755
